CellCLI> LIST GRIDDISK ATTRIBUTES name, asmmodestatus
	 BANKBU_DBFS01_01_CD_SC01_CEL03	 ONLINE
	 RECO06_CD_11_sc01_cel03       	 ONLINE
	 RECO07_CD_07_sc01_cel03       	 ONLINE
	 RECO08_CD_05_sc01_cel03       	 ONLINE
	 RECO09_CD_04_sc01_cel03       	 ONLINE
	 RECO09_CD_09_sc01_cel03       	 ONLINE
	 RECO10_CD_09_sc01_cel03       	 ONLINE
	 RECO12_CD_10_sc01_cel03       	 ONLINE
	 RECO13_CD_01_sc01_cel03       	 ONLINE
	 RECO13_CD_05_sc01_cel03       	 ONLINE
	 RECO14_CD_10_sc01_cel03       	 ONLINE
	 RECO16_CD_00_sc01_cel03       	 ONLINE
	 RECO16_CD_07_sc01_cel03       	 ONLINE
	 RECO16_CD_10_sc01_cel03       	 ONLINE
	 RECO17_CD_03_sc01_cel03       	 ONLINE
	 RECO17_CD_08_sc01_cel03       	 ONLINE
	 RECO18_CD_02_sc01_cel03       	 ONLINE
	 RECO18_CD_11_sc01_cel03       	 ONLINE
	 RECO19_CD_03_sc01_cel03       	 ONLINE
	 RECO19_CD_05_sc01_cel03       	 ONLINE
	 RECO21_CD_01_sc01_cel03       	 ONLINE
	 RECO21_CD_03_sc01_cel03       	 ONLINE
	 RECO21_CD_11_sc01_cel03       	 ONLINE
	 RECO22_CD_00_sc01_cel03       	 ONLINE
	 RECO23_CD_00_sc01_cel03       	 ONLINE
	 RECO23_CD_05_sc01_cel03       	 ONLINE
	 RECO23_CD_10_sc01_cel03       	 ONLINE
	 RECO24_CD_09_sc01_cel03       	 ONLINE
	 RECO26_CD_05_sc01_cel03       	 ONLINE
	 RECO27_CD_09_sc01_cel03       	 ONLINE
	 RECO28_CD_05_sc01_cel03       	 ONLINE
	 RECO28_CD_11_sc01_cel03       	 ONLINE
	 RECO30_CD_02_sc01_cel03       	 ONLINE
	 RECO30_CD_03_sc01_cel03       	 ONLINE
	 RECO30_CD_05_sc01_cel03       	 ONLINE
	 RECO31_CD_10_sc01_cel03       	 ONLINE
	 RECO31_CD_11_sc01_cel03       	 ONLINE
	 RECO32_CD_00_sc01_cel03       	 ONLINE
	 RECO32_CD_01_sc01_cel03       	 ONLINE
	 RECO32_CD_02_sc01_cel03       	 ONLINE
	 RECO32_CD_03_sc01_cel03       	 ONLINE
	 RECO32_CD_04_sc01_cel03       	 ONLINE
	 RECO32_CD_05_sc01_cel03       	 ONLINE
	 RECO32_CD_06_sc01_cel03       	 ONLINE
	 RECO32_CD_07_sc01_cel03       	 ONLINE
	 RECO32_CD_08_sc01_cel03       	 ONLINE
